Date,Price,Open,High,ChangePercentFromLastMonth,Volume
01/01/2022,41321.0,46217.5,47944.9,-10.6,517.02K
12/01/2021,46219.5,56891.7,59064.3,-18.75,1.90M
11/01/2021,56882.9,61310.1,68990.6,-7.22,1.85M
10/01/2021,61309.6,43824.4,66967.1,39.9,2.18M
09/01/2021,43823.3,47129.2,52885.3,-7.02,2.21M
08/01/2021,47130.4,41510.0,50498.8,13.42,2.14M
07/01/2021,41553.7,35030.7,42285.3,18.63,2.44M
06/01/2021,35026.9,37294.3,41318.0,-6.09,4.14M
05/01/2021,37298.6,57719.1,59523.9,-35.38,5.33M
03/01/2021,57720.3,58763.2,64778.0,-1.78,2.97M
03/01/2021,58763.7,45160.5,61795.8,30.11,3.01M
02/01/2021,45164.0,33106.8,58335.1,36.41,4.01M
01/01/2021,33108.1,28951.7,41921.7,14.37,5.50M
12/01/2020,28949.4,19697.8,29298.8,46.97,3.85M
11/01/2020,19698.1,18394.6,19831.2,42.77,4.05M
10/01/2020,13797.3,10776.6,14065.4,28.04,2.41M
09/01/2020,10776.1,11644.2,12045.9,-7.46,83.88M
08/01/2020,11644.2,11333.2,12444.1,2.74,15.39M
07/01/2020,11333.4,10961.1,11434.8,24.06,13.21M
06/01/2020,9135.4,9454.5,10301.8,-3.38,15.35M
05/01/2020,9454.8,8628.6,10033.0,9.57,38.48M
03/01/2020,8629.0,6412.4,9437.5,34.56,39.41M
03/01/2020,6412.5,8543.8,9180.8,-24.94,48.24M
02/01/2020,8543.7,9349.3,10482.6,-8.62,23.76M
01/01/2020,9349.1,7196.4,9569.0,29.91,23.56M
12/01/2019,7196.4,7546.5,7702.2,-4.64,21.03M
11/01/2019,7546.6,9153.1,9500.4,-17.55,21.33M
10/01/2019,9152.6,8285.0,10540.0,10.48,19.93M
09/01/2019,8284.3,9594.7,10896.2,-13.65,13.58M
08/01/2019,9594.4,10081.9,12291.9,-4.84,17.53M
07/01/2019,10082.0,10821.4,13134.4,-6.81,23.61M
06/01/2019,10818.6,8556.9,13929.8,26.41,22.96M
05/01/2019,8558.3,5321.1,9045.9,60.85,44.06M
03/01/2019,5320.8,4102.3,5594.4,29.7,54.03M
03/01/2019,4102.3,3816.7,4138.1,7.49,81.62M
02/01/2019,3816.6,3437.7,4194.2,11.04,23.13M
01/01/2019,3437.2,3709.5,4070.5,-7.34,15.72M
12/01/2018,3709.4,4038.7,4316.1,-8.18,15.70M
11/01/2018,4039.7,6365.9,6594.3,-36.54,8.71M
10/01/2018,6365.9,6635.2,7358.4,-4.06,58.80M
09/01/2018,6635.2,7032.4,7409.9,-5.67,154.15M
08/01/2018,7033.8,7728.5,7753.2,-9.0,63.25M
07/01/2018,7729.4,6398.5,8484.6,20.79,7.06M
06/01/2018,6398.9,7502.5,7775.0,-14.71,4.78M
05/01/2018,7502.6,9245.1,9992.8,-18.85,5.04M
03/01/2018,9245.1,6939.1,9753.1,33.25,6.22M
03/01/2018,6938.2,10335.1,11506.9,-32.86,7.61M
02/01/2018,10333.9,10266.2,11791.5,0.67,8.54M
01/01/2018,10265.4,13850.5,17252.8,-25.88,4.84M
12/01/2017,13850.4,9947.1,19870.6,39.25,5.12M
11/01/2017,9946.8,6449.1,11417.8,54.18,3.96M
10/01/2017,6451.2,4360.6,6467.2,47.94,2.98M
09/01/2017,4360.6,4735.1,4976.5,-7.91,3.93M
08/01/2017,4735.1,2883.3,4765.1,64.23,3.13M
07/01/2017,2883.3,2480.6,2932.8,16.23,3.75M
06/01/2017,2480.6,2303.3,2985.1,7.7,3.35M
05/01/2017,2303.3,1351.9,2781.8,70.38,3.45M
03/01/2017,1351.9,1079.1,1358.9,25.28,1.56M
03/01/2017,1079.1,1189.3,1330.4,-9.26,2.68M
02/01/2017,1189.3,965.5,1211.7,23.18,1.31M
01/01/2017,965.5,963.4,1150.6,0.22,2.21M
12/01/2016,963.4,742.5,982.6,29.75,1.27M
11/01/2016,742.5,698.7,755.3,6.27,1.23M
10/01/2016,698.7,608.1,720.2,14.89,905.66K
09/01/2016,608.1,573.9,705.0,5.97,748.55K
08/01/2016,573.9,621.9,627.9,-7.72,1.08M
07/01/2016,621.9,670.0,701.5,-7.19,1.63M
06/01/2016,670.0,528.9,776.0,26.68,3.55M
05/01/2016,528.9,448.5,548.0,17.92,1.66M
03/01/2016,448.5,415.7,468.9,7.91,1.39M
03/01/2016,415.7,436.2,439.0,-4.71,1.66M
02/01/2016,436.2,369.8,447.6,17.95,1.99M
01/01/2016,369.8,430.0,462.9,-13.98,2.49M
12/01/2015,430.0,378.0,467.7,13.75,3.20M
11/01/2015,378.0,311.2,492.8,21.44,4.29M
10/01/2015,311.2,235.9,334.9,31.92,2.28M
09/01/2015,235.9,229.5,246.4,2.82,1.65M
08/01/2015,229.5,283.7,285.7,-19.12,2.22M
07/01/2015,283.7,264.1,315.9,7.42,1.86M
06/01/2015,264.1,229.8,268.7,14.91,1.75M
05/01/2015,229.8,235.8,247.9,-2.52,1.64M
