,Date,Price,Open,High,Low,Volume,ChangePercentFromLastMonth
0,12/19/2023,42259.3,42659.7,43473.3,41842.7,55.29K,-0.94
1,12/18/2023,42659.7,41369.1,42728.0,40554.0,61.58K,3.12
2,12/17/2023,41368.7,42271.7,42413.2,41276.9,35.46K,-2.14
3,12/16/2023,42271.7,41929.0,42690.3,41698.2,30.11K,0.82
4,12/15/2023,41929.0,43025.2,43080.7,41697.9,45.28K,-2.55
5,12/14/2023,43025.9,42886.3,43392.7,41591.2,59.15K,0.33
6,12/13/2023,42884.5,41487.0,43417.5,40649.3,63.11K,3.37
7,12/12/2023,41487.0,41256.1,42070.9,40691.5,57.04K,0.56
8,12/11/2023,41256.1,43791.0,43806.3,40277.1,105.19K,-5.79
9,12/10/2023,43791.0,43716.6,44045.4,43576.8,23.81K,0.17
10,12/09/2023,43718.4,44175.5,44361.2,43617.4,31.67K,-1.03
11,12/08/2023,44175.5,43288.3,44697.6,43108.4,58.44K,2.05
12,12/07/2023,43289.7,43774.4,44046.4,42860.5,63.09K,-1.11
13,12/06/2023,43776.3,44076.2,44283.7,43466.7,72.52K,-0.68
14,12/05/2023,44076.2,41989.6,44424.1,41424.9,96.84K,4.97
15,12/04/2023,41987.8,39968.6,42394.4,39968.6,104.21K,5.05
16,12/03/2023,39970.2,39456.8,40178.9,39280.3,35.27K,1.3
17,12/02/2023,39458.4,38688.2,39673.4,38646.5,37.09K,1.99
18,12/01/2023,38688.2,37712.9,38950.8,37618.3,62.50K,2.59
19,11/30/2023,37712.9,37857.6,38144.4,37509.2,33.53K,-0.38
20,11/29/2023,37855.5,37823.3,38362.9,37607.6,49.34K,0.09
21,11/28/2023,37823.3,37244.3,38379.4,36881.1,57.50K,1.54
22,11/27/2023,37248.6,37451.8,37563.3,36751.5,45.24K,-0.54
23,11/26/2023,37451.8,37786.4,37819.1,37166.3,29.20K,-0.89
24,11/25/2023,37787.0,37718.6,37887.4,37599.9,16.09K,0.18
25,11/24/2023,37717.3,37295.0,38400.8,37257.4,65.83K,1.14
26,11/23/2023,37293.1,37410.8,37642.5,36915.3,32.35K,-0.31
27,11/22/2023,37410.8,35797.5,37862.5,35695.6,64.81K,4.46
28,11/21/2023,35813.6,37452.7,37631.2,35799.2,71.07K,-4.38
29,11/20/2023,37454.1,37356.6,37735.6,36857.6,51.80K,0.27
30,11/19/2023,37354.2,36568.6,37504.6,36393.3,26.14K,2.15
31,11/18/2023,36568.6,36617.5,36845.2,36220.6,20.88K,-0.07
32,11/17/2023,36595.4,36161.8,36690.6,35875.2,51.37K,1.2
33,11/16/2023,36161.2,37873.9,37907.6,35561.6,66.92K,-4.52
34,11/15/2023,37874.9,35549.3,37954.1,35379.6,75.51K,6.54
35,11/14/2023,35549.3,36478.3,36744.5,34984.3,63.56K,-2.55
36,11/13/2023,36478.3,37067.8,37404.6,36358.4,44.55K,-1.58
37,11/12/2023,37064.4,37149.0,37215.3,36761.9,21.45K,-0.23
38,11/11/2023,37150.5,37306.3,37401.3,36767.6,29.53K,-0.41
39,11/10/2023,37303.0,36700.5,37496.1,36347.2,59.56K,1.64
40,11/09/2023,36700.5,35636.9,37942.0,35578.1,115.56K,2.98
41,11/08/2023,35636.9,35426.2,36050.2,35148.8,46.33K,0.6
42,11/07/2023,35426.1,35042.1,35877.9,34536.9,53.49K,1.1
43,11/06/2023,35042.0,35020.3,35275.6,34742.9,29.81K,0.06
44,11/05/2023,35019.4,35065.8,35360.2,34550.0,31.02K,-0.13
45,11/04/2023,35065.8,34718.6,35242.2,34601.1,23.80K,1.0
46,11/03/2023,34718.7,34931.4,34940.6,34124.2,54.54K,-0.61
47,11/02/2023,34931.4,35423.8,35907.6,34357.4,63.66K,-1.39
48,11/01/2023,35423.8,34648.3,35557.5,34138.7,71.66K,2.23
49,10/31/2023,34650.6,34478.9,34704.6,34053.9,43.40K,0.5
50,10/30/2023,34477.9,34526.7,34853.3,34089.5,45.20K,-0.14
51,10/29/2023,34526.7,34082.6,34737.9,33937.6,27.72K,1.3
52,10/28/2023,34082.6,33901.6,34387.8,33867.3,22.00K,0.53
53,10/27/2023,33901.8,34153.7,34245.8,33423.6,47.33K,-0.74
54,10/26/2023,34153.7,34497.6,34826.0,33749.9,56.62K,-0.99
55,10/25/2023,34496.8,33917.0,35123.9,33713.4,75.81K,1.71
56,10/24/2023,33917.0,33037.3,35191.4,32866.5,159.08K,2.65
57,10/23/2023,33041.8,29984.2,34375.6,29891.4,133.46K,10.2
58,10/22/2023,29984.2,29912.7,30193.4,29713.6,29.07K,0.24
59,10/21/2023,29912.9,29674.7,30264.8,29469.1,34.68K,0.8
60,10/20/2023,29674.5,28724.0,30165.9,28586.1,82.68K,3.31
61,10/19/2023,28723.0,28321.8,28883.8,28170.2,50.10K,1.42
62,10/18/2023,28321.7,28405.2,28876.0,28169.0,45.01K,-0.29
63,10/17/2023,28403.6,28508.3,28608.5,28096.9,53.42K,-0.37
64,10/16/2023,28509.7,27161.2,29969.5,27119.7,119.18K,4.96
65,10/15/2023,27161.2,26852.8,27286.9,26812.6,21.95K,1.15
66,10/14/2023,26852.8,26863.5,26975.7,26805.1,13.56K,-0.04
67,10/13/2023,26863.5,26761.1,27114.8,26682.9,33.66K,0.38
68,10/12/2023,26761.1,26878.2,26942.8,26565.3,32.75K,-0.43
69,10/11/2023,26876.6,27391.9,27475.9,26558.4,55.78K,-1.88
70,10/10/2023,27391.0,27581.5,27728.1,27300.1,34.32K,-0.69
71,10/09/2023,27581.4,27922.7,27986.4,27279.5,44.81K,-1.22
72,10/08/2023,27922.7,27961.1,28097.5,27714.4,24.11K,-0.14
73,10/07/2023,27961.1,27935.5,28021.3,27859.0,17.29K,0.09
74,10/06/2023,27936.9,27410.3,28223.6,27195.7,52.51K,1.92
75,10/05/2023,27410.3,27783.5,28089.1,27371.7,46.26K,-1.37
76,10/04/2023,27790.9,27428.7,27832.7,27242.5,40.93K,1.32
77,10/03/2023,27428.4,27501.6,27670.8,27194.1,44.06K,-0.28
78,10/02/2023,27505.3,27974.6,28556.6,27325.2,84.30K,-1.68
79,10/01/2023,27974.5,26962.5,28038.4,26955.7,35.11K,3.75
80,09/30/2023,26962.7,26908.1,27085.7,26887.5,17.55K,0.2
81,09/29/2023,26909.8,27022.6,27229.5,26728.8,42.24K,-0.42
82,09/28/2023,27022.6,26368.2,27283.6,26339.4,64.56K,2.49
83,09/27/2023,26366.1,26218.9,26836.9,26109.1,50.80K,0.56
84,09/26/2023,26218.9,26303.1,26396.2,26093.4,26.41K,-0.32
85,09/25/2023,26302.7,26251.6,26423.6,26013.6,38.20K,0.2
86,09/24/2023,26251.5,26579.0,26727.6,26162.2,22.32K,-1.23
87,09/23/2023,26579.2,26581.7,26636.2,26517.5,12.92K,-0.01
88,09/22/2023,26581.9,26569.5,26736.4,26488.5,28.79K,0.04
89,09/21/2023,26570.0,27125.2,27155.6,26382.3,47.81K,-2.05
90,09/20/2023,27125.0,27209.2,27378.6,26851.8,47.23K,-0.31
91,09/19/2023,27209.2,26759.0,27480.7,26672.2,52.17K,1.67
92,09/18/2023,26763.5,26530.3,27413.3,26405.2,63.35K,0.88
93,09/17/2023,26529.1,26562.0,26614.4,26408.7,16.57K,-0.12
94,09/16/2023,26562.0,26599.9,26769.0,26463.5,18.45K,-0.15
95,09/15/2023,26601.0,26523.3,26837.4,26233.1,36.47K,0.29
96,09/14/2023,26524.7,26223.0,26760.3,26148.6,53.82K,1.15
97,09/13/2023,26223.0,25836.1,26382.3,25766.9,42.58K,1.5
98,09/12/2023,25834.5,25166.4,26472.6,25133.5,78.71K,2.65
99,09/11/2023,25166.4,25840.2,25897.4,24923.1,56.32K,-2.61
100,09/10/2023,25840.2,25901.1,25995.1,25626.7,23.60K,-0.24
101,09/09/2023,25901.1,25909.5,25938.5,25814.3,13.48K,-0.03
102,09/08/2023,25909.5,26248.5,26415.4,25701.6,41.01K,-1.3
103,09/07/2023,26249.8,25758.0,26417.7,25626.5,39.77K,1.91
104,09/06/2023,25758.0,25790.1,26018.4,25411.7,37.78K,-0.13
105,09/05/2023,25790.2,25824.4,25864.0,25596.3,28.40K,-0.13
106,09/04/2023,25823.3,25971.0,26094.2,25660.9,27.13K,-0.57
107,09/03/2023,25971.0,25869.7,26090.4,25816.6,21.36K,0.39
108,09/02/2023,25869.7,25803.5,25977.4,25752.7,21.24K,0.26
109,09/01/2023,25803.2,25938.3,26144.9,25361.9,58.08K,-0.52
110,08/31/2023,25937.3,27300.6,27464.5,25731.0,69.11K,-4.99
111,08/30/2023,27298.8,27723.9,27757.3,27043.2,46.54K,-1.53
112,08/29/2023,27723.9,26118.1,28046.0,25919.8,98.32K,6.14
113,08/28/2023,26118.9,26100.6,26215.7,25891.0,28.84K,0.07
114,08/27/2023,26100.6,26017.1,26176.8,25968.7,14.29K,0.32
115,08/26/2023,26017.1,26057.2,26114.1,25993.5,12.09K,-0.15
116,08/25/2023,26057.2,26176.1,26265.7,25811.6,39.96K,-0.46
117,08/24/2023,26177.0,26436.2,26560.5,25943.6,41.04K,-0.98
118,08/23/2023,26436.2,26042.0,26807.7,25812.6,60.96K,1.52
119,08/22/2023,26039.9,26126.8,26138.8,25481.9,47.72K,-0.33
120,08/21/2023,26126.0,26190.8,26220.9,25850.8,41.10K,-0.25
121,08/20/2023,26190.8,26099.5,26269.1,25998.5,24.00K,0.35
122,08/19/2023,26099.4,26053.3,26262.2,25799.5,33.04K,0.18
123,08/18/2023,26053.2,26635.7,26801.9,25691.0,93.05K,-2.19
124,08/17/2023,26635.7,28726.1,28771.8,25489.4,132.92K,-7.28
125,08/16/2023,28726.3,29195.3,29251.1,28717.6,43.71K,-1.61
126,08/15/2023,29195.3,29426.7,29472.0,29118.6,33.81K,-0.79
127,08/14/2023,29426.7,29300.1,29689.0,29116.0,39.30K,0.43
128,08/13/2023,29300.1,29428.2,29468.5,29272.3,13.49K,-0.44
129,08/12/2023,29428.2,29420.8,29480.8,29375.4,11.07K,0.02
130,08/11/2023,29420.8,29448.9,29544.9,29271.2,27.71K,-0.1
131,08/10/2023,29449.0,29578.0,29719.4,29377.5,32.00K,-0.44
132,08/09/2023,29578.0,29771.3,30104.0,29384.2,49.67K,-0.67
133,08/08/2023,29777.4,29204.2,30168.6,29137.7,62.57K,1.96
134,08/07/2023,29204.2,29081.3,29270.2,28721.0,41.19K,0.42
135,08/06/2023,29081.3,29067.9,29198.9,28987.4,16.03K,0.05
136,08/05/2023,29068.1,29105.6,29139.3,28983.0,14.55K,-0.13
137,08/04/2023,29105.5,29189.1,29319.1,28875.8,31.43K,-0.29
138,08/03/2023,29189.3,29180.9,29409.8,28981.0,36.08K,0.05
139,08/02/2023,29173.7,29711.8,30025.9,28961.6,67.41K,-1.81
140,08/01/2023,29712.2,29232.3,29712.2,28611.0,64.01K,1.64
141,07/31/2023,29232.4,29282.0,29502.3,29128.3,31.84K,-0.17
142,07/30/2023,29281.7,29354.2,29446.6,29054.5,20.58K,-0.24
143,07/29/2023,29353.5,29315.0,29400.1,29256.9,13.90K,0.13
144,07/28/2023,29315.0,29222.7,29533.0,29125.1,31.42K,0.32
145,07/27/2023,29222.7,29352.9,29568.8,29094.0,30.42K,-0.44
